# sharpe = mean(terminal pnl across 2000 paths) / std(terminal pnl across paths), not annualised -- see DECISIONS.md
strategy,total_pnl_mean,total_pnl_se,pnl_std,sharpe,spread_capture_mean,adverse_selection_mean,mean_abs_inventory,max_abs_inventory,terminal_abs_inventory_mean,fill_count_mean,fill_rate
SymmetricFixedSpread,52.61406247398649,0.28167026165022047,12.596677045800902,4.176820782392398,56.05762443064755,-3.2873328308867387,4.406785,30.0,6.4835,81.8995,0.4094975
FixedSpreadWithInventoryLimit,52.076725941418815,0.25987631919716797,11.622022309346024,4.480866113941334,55.20444083183288,-3.078941686794605,4.0349525,11.0,5.276,80.653,0.40326500000000004
AvellanedaStoikov,52.81923469788684,0.1942542846658079,8.68731570866683,6.080040885954238,55.792921454493936,-2.9899196190598634,2.7568575,22.0,4.2565,82.7005,0.41350250000000005
AvellanedaStoikovWithLimit,52.71953564179085,0.1947666703096194,8.71023029127198,6.052599515608452,55.664346653137734,-2.9622156186813164,2.7345925,11.0,4.0995,82.5225,0.4126125
RandomQuoter,49.96859900295374,0.2864484852121067,12.810365699722277,3.90063798132141,53.557278301657895,-3.3980801179711806,4.38612,35.0,6.4475,84.4605,0.42230249999999997
