sigma_multiplier,as_mean_spread,as_mean_abs_inventory,as_max_abs_inventory,as_pnl_mean,as_pnl_std,fixed_mean_abs_inventory,fixed_max_abs_inventory,fixed_pnl_mean,fixed_pnl_std,as_min_fill_count,fixed_min_fill_count,as_below_fill_floor_count,fixed_below_fill_floor_count
0.5,1.3438887,3.8133925,27.0,54.24320574610255,7.208564166002555,4.4072625,30.0,54.31992353482419,7.861597584940571,57,53,0,0
1.0,1.359010525,2.7568575,22.0,52.81923469788684,8.68731570866683,4.406785,30.0,52.61406247398649,12.596677045800902,60,53,0,0
2.0,1.4193058500000002,1.6330075,14.0,50.3889479455267,10.05140861934881,4.40279,30.0,49.20397477392221,23.403911234609236,58,53,0,0
4.0,1.6605104499999999,0.865865,10.0,46.43804596607575,11.41332944702367,4.4052275,30.0,42.26583948893169,46.20150989338284,49,54,0,0
