assumed_over_true_kappa,pnl_mean,pnl_se,pnl_std,sharpe,mean_fill_count,min_fill_count,below_fill_floor_count
0.5,43.03467932365039,0.2092138113050449,9.356326078197888,4.599527524369827,33.1405,16,9
0.75,52.72811223708709,0.20186267381093892,9.02757321522252,5.8407847801417585,61.463,37,0
1.0,52.81923469788684,0.1942542846658079,8.68731570866683,6.080040885954238,82.7005,60,0
1.5,45.99875387977828,0.18386022322951837,8.22247914998978,5.594268229896995,109.9315,85,0
2.0,38.890216403736204,0.1782621575841887,7.972126043480513,4.878274150662739,125.9605,99,0
