gamma,pnl_mean,pnl_se,pnl_std,sharpe,sharpe_bootstrap_se,mean_fill_count,mean_abs_inventory,max_abs_inventory,min_fill_count,below_fill_floor_count
0.0005,52.53235946786012,0.27333767284570415,12.224032345891858,4.2974656791966614,0.11460652379259523,83.2735,4.2794225,29.0,55,0
0.001,52.54968230588932,0.26543386033321364,11.870563104705013,4.426890438336556,0.11575137550089071,83.24,4.152445,29.0,55,0
0.005,52.71418864843186,0.22225420345022368,9.939510143995369,5.3034996579059195,0.1162710039728787,82.9395,3.3445325,26.0,58,0
0.01,52.81923469788684,0.1942542846658079,8.68731570866683,6.080040885954238,0.11515386386527252,82.7005,2.7568575,22.0,60,0
0.05,52.40686293556074,0.1493029377996036,6.677030363206731,7.848828009581143,0.12789616202008725,80.6865,1.4835325,13.0,57,0
0.1,51.16920829337902,0.13801390480409056,6.172169459642626,8.290311636443915,0.13266937103808416,78.338,1.08736,11.0,53,0
